anio,trimestre,provincia,velocidad_promedio,total_accesos
2017,4,Buenos Aires,29.770514285714288,3188332
2017,4,Capital Federal,37.02034285714286,1584238
2017,4,Catamarca,20.764,29558
2017,4,Chaco,24.32469565217391,96471
2017,4,Chubut,11.41325,93432
2017,4,Corrientes,26.58152380952381,93771
2017,4,Córdoba,25.358719999999998,700611
2017,4,Entre Ríos,26.6755,193499
2017,4,Formosa,24.87957894736842,32055
2017,4,Jujuy,21.49266666666667,43550
2017,4,La Pampa,16.123399999999997,81086
2017,4,La Rioja,13.092,52195
2017,4,Mendoza,17.067333333333334,180154
2017,4,Misiones,26.58152380952381,103895
2017,4,Neuquén,16.123399999999997,115843
2017,4,Río Negro,17.308,109678
2017,4,Salta,20.80070588235294,133648
2017,4,San Juan,7.241200000000001,58622
2017,4,San Luis,8.147333333333334,14900
2017,4,Santa Cruz,11.623999999999999,29978
2017,4,Santa Fe,27.65406896551724,671964
2017,4,Santiago Del Estero,10.016307692307691,68842
2017,4,Tierra Del Fuego,3.864,31652
2017,4,Tucumán,21.24266666666667,162248
2018,1,Buenos Aires,29.770514285714288,3471700
2018,1,Capital Federal,37.02034285714286,1368594
2018,1,Catamarca,22.288,33929
2018,1,Chaco,25.38490909090909,96782
2018,1,Chubut,10.42925,97928
2018,1,Corrientes,26.58152380952381,94420
2018,1,Córdoba,25.358719999999998,713991
2018,1,Entre Ríos,26.6755,196848
2018,1,Formosa,24.64273684210526,32320
2018,1,Jujuy,21.49266666666667,44393
2018,1,La Pampa,16.123399999999997,82375
2018,1,La Rioja,13.092,52242
2018,1,Mendoza,16.18252631578947,200927
2018,1,Misiones,26.58152380952381,103542
2018,1,Neuquén,16.123399999999997,116746
2018,1,Río Negro,17.308,111239
2018,1,Salta,20.80070588235294,134001
2018,1,San Juan,6.606181818181819,63240
2018,1,San Luis,8.79709090909091,21382
2018,1,Santa Cruz,10.812,33772
2018,1,Santa Fe,27.65406896551724,680053
2018,1,Santiago Del Estero,9.31914285714286,84236
2018,1,Tierra Del Fuego,3.463111111111111,34409
2018,1,Tucumán,18.38342857142857,167984
2018,2,Buenos Aires,30.31337142857143,3500699
2018,2,Capital Federal,37.02034285714286,1369186
2018,2,Catamarca,11.420615384615386,34089
2018,2,Chaco,19.2127619047619,98521
2018,2,Chubut,10.42925,100564
2018,2,Corrientes,26.58152380952381,97957
2018,2,Córdoba,29.67742857142857,713073
2018,2,Entre Ríos,25.61872,199985
2018,2,Formosa,16.048399999999997,44554
2018,2,Jujuy,19.77925,45133
2018,2,La Pampa,44.380736842105264,82421
2018,2,La Rioja,16.837866666666667,51948
2018,2,Mendoza,15.673399999999997,200952
2018,2,Misiones,20.8106,106147
2018,2,Neuquén,16.123399999999997,115848
2018,2,Río Negro,17.308,112235
2018,2,Salta,16.84511111111111,134167
2018,2,San Juan,6.606181818181819,64101
2018,2,San Luis,8.439,21468
2018,2,Santa Cruz,10.812,34405
2018,2,Santa Fe,27.65406896551724,684552
2018,2,Santiago Del Estero,16.862823529411767,83775
2018,2,Tierra Del Fuego,6.074461538461539,44707
2018,2,Tucumán,16.837866666666667,169957
2018,3,Buenos Aires,30.31337142857143,3610277
2018,3,Capital Federal,37.02034285714286,1392490
2018,3,Catamarca,11.217866666666668,34226
2018,3,Chaco,20.203090909090907,102033
2018,3,Chubut,11.098315789473684,103736
2018,3,Corrientes,26.58152380952381,99456
2018,3,Córdoba,29.480296296296295,725858
2018,3,Entre Ríos,25.61872,204608
2018,3,Formosa,16.048399999999997,44865
2018,3,Jujuy,25.473,44935
2018,3,La Pampa,44.380736842105264,83424
2018,3,La Rioja,16.837866666666667,51872
2018,3,Mendoza,28.613,207029
2018,3,Misiones,20.8106,108042
2018,3,Neuquén,16.123399999999997,116718
2018,3,Río Negro,23.56672727272727,113492
2018,3,Salta,16.84511111111111,132883
2018,3,San Juan,11.362,64481
2018,3,San Luis,9.437866666666668,74421
2018,3,Santa Cruz,11.144533333333333,33999
2018,3,Santa Fe,27.65406896551724,695100
2018,3,Santiago Del Estero,16.129894736842104,86360
2018,3,Tierra Del Fuego,12.56675,45564
2018,3,Tucumán,16.02164705882353,171166
2018,4,Buenos Aires,30.31337142857143,3636606
2018,4,Capital Federal,36.96422222222222,1389020
2018,4,Catamarca,11.947714285714286,33583
2018,4,Chaco,20.532363636363637,103270
2018,4,Chubut,15.548399999999997,78722
2018,4,Corrientes,21.01115789473684,100601
2018,4,Córdoba,32.065599999999996,737339
2018,4,Entre Ríos,20.498666666666665,222047
2018,4,Formosa,16.87957894736842,45204
2018,4,Jujuy,25.112181818181817,90133
2018,4,La Pampa,54.12411111111111,85636
2018,4,La Rioja,17.969142857142856,51651
2018,4,Mendoza,28.613,206304
2018,4,Misiones,21.01115789473684,116273
2018,4,Neuquén,16.123399999999997,114365
2018,4,Río Negro,23.56672727272727,116837
2018,4,Salta,18.037473684210525,134578
2018,4,San Juan,11.362,62398
2018,4,San Luis,9.437866666666668,96331
2018,4,Santa Cruz,16.704250000000002,24768
2018,4,Santa Fe,27.65406896551724,720390
2018,4,Santiago Del Estero,16.051058823529413,89335
2018,4,Tierra Del Fuego,16.272285714285715,46260
2018,4,Tucumán,19.041333333333334,172004
2019,1,Buenos Aires,30.30466666666667,3732709
2019,1,Capital Federal,36.37059459459459,1401583
2019,1,Catamarca,11.947714285714286,34739
2019,1,Chaco,19.65078260869565,106982
2019,1,Chubut,16.353263157894737,82678
2019,1,Corrientes,21.01115789473684,101659
2019,1,Córdoba,34.249,746418
2019,1,Entre Ríos,24.607304347826084,233180
2019,1,Formosa,16.87957894736842,45299
2019,1,Jujuy,25.112181818181817,83736
2019,1,La Pampa,54.87411111111111,87085
2019,1,La Rioja,19.331692307692308,51653
2019,1,Mendoza,32.70848,215979
2019,1,Misiones,19.973399999999998,125633
2019,1,Neuquén,16.123399999999997,114242
2019,1,Río Negro,23.56672727272727,120826
2019,1,Salta,17.1484,136012
2019,1,San Juan,17.766750000000002,63982
2019,1,San Luis,9.437866666666668,98701
2019,1,Santa Cruz,18.256999999999998,25606
2019,1,Santa Fe,30.34275,732320
2019,1,Santiago Del Estero,17.038249999999998,91535
2019,1,Tierra Del Fuego,14.759529411764706,43361
2019,1,Tucumán,19.9806,172217
2019,2,Buenos Aires,84.68214634146341,3870807
2019,2,Capital Federal,83.04175609756098,1418395
2019,2,Catamarca,11.817866666666667,33622
2019,2,Chaco,31.27872,109904
2019,2,Chubut,15.284190476190474,89333
2019,2,Corrientes,34.26038095238095,109461
2019,2,Córdoba,41.48562162162162,769793
2019,2,Entre Ríos,36.91533333333333,234213
2019,2,Formosa,16.048399999999997,46751
2019,2,Jujuy,27.373399999999997,86733
2019,2,La Pampa,44.292,90223
2019,2,La Rioja,19.331692307692308,50304
2019,2,Mendoza,23.552695652173913,222260
2019,2,Misiones,34.26038095238095,130052
2019,2,Neuquén,30.593714285714285,122886
2019,2,Río Negro,22.976869565217388,138429
2019,2,Salta,17.1484,142650
2019,2,San Juan,17.829250000000002,70240
2019,2,San Luis,15.16675,117383
2019,2,Santa Cruz,17.034,30010
2019,2,Santa Fe,54.21115151515151,736108
2019,2,Santiago Del Estero,24.677263157894735,126056
2019,2,Tierra Del Fuego,19.474315789473685,47895
2019,2,Tucumán,19.9806,166673
2019,3,Buenos Aires,92.60206666666666,3960233
2019,3,Capital Federal,139.96174,1441211
2019,3,Catamarca,11.817866666666667,32400
2019,3,Chaco,30.873666666666665,114451
2019,3,Chubut,13.82585714285714,89005
2019,3,Corrientes,34.26038095238095,112759
2019,3,Córdoba,124.05093478260869,783053
2019,3,Entre Ríos,35.45372,238102
2019,3,Formosa,30.52228571428571,46066
2019,3,Jujuy,27.373399999999997,86576
2019,3,La Pampa,41.63367857142857,90828
2019,3,La Rioja,22.10109090909091,49677
2019,3,Mendoza,21.69372,224337
2019,3,Misiones,34.26038095238095,133883
2019,3,Neuquén,107.7575172413793,125421
2019,3,Río Negro,95.38770370370369,144295
2019,3,Salta,16.123399999999997,151835
2019,3,San Juan,16.208842105263155,73098
2019,3,San Luis,14.103777777777777,122700
2019,3,Santa Cruz,15.36215,37970
2019,3,Santa Fe,61.97480555555555,760934
2019,3,Santiago Del Estero,24.677263157894735,133132
2019,3,Tierra Del Fuego,18.5134,48587
2019,3,Tucumán,19.9806,164131
2019,4,Buenos Aires,90.4304693877551,3686250
2019,4,Capital Federal,135.4776346153846,1358105
2019,4,Catamarca,62.31211111111111,38311
2019,4,Chaco,50.363249999999994,117903
2019,4,Chubut,13.50442857142857,96102
2019,4,Corrientes,32.581809523809525,113834
2019,4,Córdoba,116.87425581395348,806688
2019,4,Entre Ríos,34.04372,239030
2019,4,Formosa,29.168999999999997,46711
2019,4,Jujuy,60.00947826086956,88881
2019,4,La Pampa,40.40915625,90399
2019,4,La Rioja,20.321833333333334,49002
2019,4,Mendoza,48.87381481481481,185780
2019,4,Misiones,31.44172727272727,135813
2019,4,Neuquén,29.566454545454544,116445
2019,4,Río Negro,35.342416666666665,127140
2019,4,Salta,50.226869565217385,172445
2019,4,San Juan,15.853578947368419,64974
2019,4,San Luis,13.728777777777777,108201
2019,4,Santa Cruz,14.494368421052632,39370
2019,4,Santa Fe,94.86737837837838,769169
2019,4,Santiago Del Estero,39.458,103588
2019,4,Tierra Del Fuego,12.100947368421053,40392
2019,4,Tucumán,53.58095652173913,198644
2020,1,Buenos Aires,90.4304693877551,3718747
2020,1,Capital Federal,135.4776346153846,1354054
2020,1,Catamarca,62.31211111111111,38860
2020,1,Chaco,43.583678571428564,120226
2020,1,Chubut,13.50442857142857,96920
2020,1,Corrientes,32.581809523809525,113737
2020,1,Córdoba,113.09756818181818,810924
2020,1,Entre Ríos,37.5805,230292
2020,1,Formosa,29.168999999999997,46276
2020,1,Jujuy,61.27034782608695,94089
2020,1,La Pampa,40.40915625,89145
2020,1,La Rioja,20.321833333333334,48345
2020,1,Mendoza,49.93348,176960
2020,1,Misiones,31.44172727272727,133700
2020,1,Neuquén,29.566454545454544,122214
2020,1,Río Negro,35.342416666666665,126927
2020,1,Salta,50.226869565217385,170695
2020,1,San Juan,15.853578947368419,67861
2020,1,San Luis,13.728777777777777,110454
2020,1,Santa Cruz,21.534875,38335
2020,1,Santa Fe,83.05813888888889,762556
